Habit,Taxa1,Taxa2,C1,C2,C3,C4,pC1,pC2,pC3,pC4
Semiaquatic,Thamnophis_radix,Xenochrophis_maculatus,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Semiaquatic,Thamnophis_sauritus,Xenochrophis_bellula,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Semiaquatic,Thamnophis_sauritus,Xenochrophis_maculatus,0.32667517982520333,0.02798226986436849,0.09497790374256058,0.00411921031081095,0.0891089108910891,0.1188118811881188,0.21782178217821782,0.26732673267326734
Terrestrial,Amphiesma_beddomei,Hebius_atemporale_1,0.4027560536249425,0.035970079998736235,0.21210985597033474,0.01097088172148292,0.0297029702970297,0.019801980198019802,0.009900990099009901,0.07920792079207921
Terrestrial,Amphiesma_beddomei,Hebius_boulengeri_2,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Terrestrial,Amphiesma_beddomei,Hebius_modestum,0.13277054266162547,0.013035400251597093,0.07016476698154649,0.003975799730150305,0.2376237623762376,0.18811881188118812,0.24752475247524752,0.2871287128712871
Terrestrial,Amphiesma_beddomei,Hebius_octolineatum_3,0.6825582574895065,0.0691827418562562,0.39240517958709725,0.02110075034861026,0,0,0,0
Terrestrial,Amphiesma_beddomei,Hebius_sauteri_1,0.22888085172737227,0.021622830114094174,0.1175497051179337,0.006594967586221124,0.15841584158415842,0.12871287128712872,0.13861386138613863,0.2079207920792079
Terrestrial,Amphiesma_beddomei,Herpetoreas_platyceps,0.522311978966121,0.05730946422355314,0.2985051621591338,0.01747939825377782,0,0,0,0
Terrestrial,Amphiesma_beddomei,Herpetoreas_sp1,0.6775807783998562,0.06352743507827559,0.3215185899006209,0.019375880630163544,0,0,0,0
Terrestrial,Amphiesma_beddomei,Herpetoreas_xenura,0.12579566758239347,0.009720906506747784,0.04884944444536424,0.0029648784632914514,0.16831683168316833,0.1782178217821782,0.2079207920792079,0.21782178217821782
Terrestrial,Amphiesma_beddomei,Lycognathophis_seychellensis,0.40586855724744764,0.05829482666373324,0.3204542349933598,0.024855932247850106,0.06930693069306931,0,0.019801980198019802,0.0297029702970297
