Species,Habit,Diet,Origin,Lineage,JL_log10_res,HLRA_log10_res,HLV_log10_res,HWLSL_log10_res,HWFSL_log10_res,HW_log10_res,HHP_log10_res,HH_log10_res,ES_log10_res,EN_log10_res,ED_log10_res,NL_log10_res,EL_log10_res,NN_log10_res,EE_log10_res,BWH_log10_res,BWM_log10_res,BWV_log10_res,MBVL_log10_res,TL_log10_res,DSR_res
Hebius_vibakari_2,Terrestrial,generalist,Asian,Asian II,-0.030864588164996928,-0.03749796725508089,-0.031926187632054244,-0.05150598386218355,-0.009836135715562558,-0.06234696087939729,-0.06541123569767568,-0.06265356435061262,-0.02176902891377432,-0.06223432970921346,0.006120598553891215,-0.017674487243949533,-0.03315134731588818,0.04572741694838492,-0.022772179842534598,-0.08459481623129464,-0.06153187103838778,-0.03575463345903107,-0.04271548374519193,0.08910753271118427,0.7901521642569633
Hebius_vibakari_ruthveni,Terrestrial,generalist,Asian,Asian II,-0.05041788018209153,-0.06399922666797388,-0.09417678902947493,-0.17472823718079014,-0.038807795637998604,-0.17390357746747542,-0.1730476421022527,-0.13875481798636669,-0.03795697746042316,-0.11268731904788308,-0.01182377831034004,-0.12849079195743274,-0.11053082946907568,0.0016175925287771342,-0.08930390567326835,-0.11945685651710669,-0.14684565535205385,-0.1244056539669801,-0.05531881264159642,0.002844829854935872,0.49257943066023696
Helophis_schoutedeni,Aquatic,unknown,African,African,-0.05583316096832494,-0.03256881958084137,0.02717319427337555,0.04364565043473903,-0.02456446285030271,0.04346945541397445,0.008652913081870117,-0.012252453021785722,-0.06841384874611448,-0.01771404117074853,-0.2045898920321624,0.08630585886298903,-0.02926944473865506,-0.22933109611314245,-0.025229741972455758,0.028167959289080363,-0.026446824259010168,-0.05894976056896609,-0.05699156136297591,-0.2051098984654656,4.466614718781386
Herpetoreas sieboldi,Terrestrial,lizards,Asian,Asian II,-0.04460728187564456,-0.03947573581934289,-0.05951159770716255,-0.0915270183680591,-0.047738986582622094,-0.0745893123118537,-0.08093819217541426,-0.08062713853892141,-0.06774425106224663,-0.03270955824160065,-0.012424123435196555,-0.09919733945794722,-0.10151275736285886,-0.03899767869457576,-0.03139569904279072,-0.12656804334058464,-0.15464479078925975,-0.15316038189615214,-0.1620042013676416,0.11477905532542511,0.19741675398641959
Herpetoreas_pealii,Semiaquatic,unknown,Asian,Asian II,0.02189285503621387,0.02022140208796009,-6.643571969013561e-5,0.04188528692479278,0.02405217881022844,-0.016926699997875785,-0.010973835920312097,-0.012752895401436143,-0.012813961281027039,0.019497370218823747,0.010059083881429738,-0.014241891556102098,-0.01137449874066746,0.029213051702605856,0.04470177640598396,-0.023825018556054484,0.01681915811763571,-0.01920726767701879,0.03612168370222794,0.12985055304405715,1.1654226161275298
Herpetoreas_platyceps,Terrestrial,lizards,Asian,Asian II,-0.09002103933443734,-0.06866241509558997,-0.06560003913949979,-0.09853441682362792,-0.09154696652356742,-0.09371518153322522,-0.0923398976802618,-0.10909219105822718,-0.0898175409217853,-0.05757276396030916,-0.062039358853401415,-0.13460573044046723,-0.128042839054978,-0.04879377613089521,-0.05493747152524959,-0.13889018280501972,-0.15225294643699114,-0.12708438851943,-0.16275487569226596,0.03470926511660495,-0.10095428669481524
Herpetoreas_sp1,Terrestrial,generalist,Asian,Asian II,-0.026942280068661124,-0.02698068641335653,-0.03724531860367173,-0.01961760406164492,-0.013571409600418034,-0.02750035583732071,-0.044883549111399815,-0.07212458213802585,-0.02355892130828914,-0.030472891793683572,8.980049445248716e-4,-0.007523318881268818,-0.04292018950166768,0.020797950903081754,-0.021510201510604048,-0.10274582001175032,-0.04561059448911105,-0.08911791884926014,-0.09359044194393408,0.1866999649431117,0.8236633785910693
Herpetoreas_xenura,Terrestrial,generalist,Asian,Asian II,-0.020025362675616214,-0.0019465283398853624,-0.014346553716037583,0.022010896925335834,0.0034263157319902983,0.016808947304908797,-0.02577683445339839,-0.06080126664144647,-0.03156798816267881,-0.0014537497205707513,-0.003398674978397247,0.01692493234676788,-0.04950397750675641,0.042243145306351045,-0.0034800242882710806,-0.0874520542530494,-0.08013432306386702,-0.08005765256397487,-0.06277813399941988,0.18706368888142386,0.6147680272576438
Hydrablabes periops,Aquatic Burrowing,unknown,Asian,UK,-0.18259893885513145,-0.1712194586220288,-0.08944153612955702,-0.11934653092078155,-0.0810263265302291,-0.1388770892999227,-0.09413041280530163,-0.17814327885093484,-0.09324176804504483,-0.1511223935298708,-0.22102524437192383,-0.19079271354668992,-0.21448281921460843,-0.11996997833895165,-0.09660969095187494,-0.09025792417342415,-0.15474444932925197,-0.0634205148014409,-0.16238911420087976,-0.03758825831435844,-1.0795210833049347
Hydrablabes prafrontalis,Aquatic Burrowing,unknown,Asian,UK,-0.19885682025828846,-0.1402411560733103,-0.1911392763150301,-0.09135433304406375,-0.0972814714766896,-0.09902027151691194,-0.11465435286077144,-0.21849444342619637,-0.15668588515266854,-0.15064913039970826,-0.21790835854038335,-0.08746258582566521,-0.19683896182015848,-0.12549065756427766,-0.10064213893152385,-0.07599829833552918,-0.16556646975791134,-0.118744742929208,-0.18489037141779746,-0.08082474721801612,-3.431694869127575
