Species,Habit,Diet,Origin,Lineage,JL_log10_res,HLRA_log10_res,HLV_log10_res,HWLSL_log10_res,HWFSL_log10_res,HW_log10_res,HHP_log10_res,HH_log10_res,ES_log10_res,EN_log10_res,ED_log10_res,NL_log10_res,EL_log10_res,NN_log10_res,EE_log10_res,BWH_log10_res,BWM_log10_res,BWV_log10_res,MBVL_log10_res,TL_log10_res,DSR_res,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
Fowlea_schnurrenbergeri,Aquatic,aquatic generalist,Asian,Asian I,-0.004631672969751401,0.015791009674963725,0.012040585148207954,0.04040399903941996,0.00336429862181416,0.04159377375616117,0.10902115719090225,0.04041820863430903,-0.002039811973189952,0.03194778484347696,-0.02397271725935581,0.015808853307811524,0.0462001798820024,-0.07482951713048641,0.030428501174499953,0.10719460363127975,0.06126233140227804,0.057953546792162865,0.05041392615689951,-0.056585105526005895,-0.4720949009288365,1.6744796621312208,-1.2137035975112929,-0.736674365807937,1.6792589629924248e-4,-0.9191407080230425,0.5314849191628159,-0.3649297180274691,0.08052843532331014,-0.5942318157363029,-0.19673628518564948,0.61441810619686,-0.06786221400417816,0.048553951470215684,-0.14683820454744395,0.021496202101181024
Fowlea_sp2,Aquatic,aquatic generalist,Asian,Asian I,0.04352454243674499,0.06956324285916017,0.041890110744791216,0.12599279126381116,0.01520960786656109,0.12097518145781071,0.09850586088883788,0.0863082663373859,0.05942936437768645,0.0793689041323635,0.018451859287292215,0.10775675475854198,0.08462550524739168,-0.04173072029048676,0.04069776783164164,0.12484708391584506,0.09961655211913543,0.10365593399864496,0.05204074053861258,0.16748385124264395,-0.7187785323006993,4.103257458924446,-1.4702922738751074,-0.9487483675608139,0.06482361483649995,-0.28450531438767035,0.07571149479614613,-0.5566554594825649,0.5589915427839135,0.07847312154650993,-0.13273745663518788,-0.10281765672524894,-0.07337884231965879,-0.10590334092120815,-0.1737480132160111,-0.009876288596698915
Fowlea_tytleri,Aquatic,aquatic generalist,Asian,Asian I,0.05663311708152703,0.09737842437600282,0.0507825603929222,0.09580660658134647,0.04535931617692086,0.08130399118206343,0.08311044042525784,0.09728415446732928,0.06748671345875028,0.09670515707133802,0.04134254410676525,0.09833342381854648,0.09746053691868332,-0.057899089809594705,0.04143500085992736,0.08131360168326919,0.014046391164046735,0.044457826975418176,0.03449391878441475,0.08466696406023072,-0.7434494208206025,4.235737596935254,-1.455796435181232,-0.39106378963432903,-0.2367677572887863,0.20817586487098566,0.28906840416465573,-0.24078378442846554,0.32706153370434965,-0.2885156857163329,-0.3338298507174583,-0.17715648411595983,0.1134040688686408,0.02576872914100743,-0.3299753446987401,-0.07700990179370369
Fowlea_yunnanensis,Aquatic,aquatic generalist,Asian,Asian I,0.0540217787758148,0.07305553826612704,0.059253485012804065,0.09115809397544421,0.0333703681890526,0.07563379021214173,0.08643737909202606,0.10796509227038419,0.06502337092158905,0.0834679112712318,0.0748969981291142,0.10364828338440514,0.09583991994710302,0.009281575695662405,0.0247276287372729,0.08230180040603392,0.023960650016403705,0.007960284604453029,-0.01062319338757237,0.13618107178270372,0.1009182591487259,4.163812203275856,-1.0254936323604906,-0.2537756149954482,-0.17118629409005046,0.17495877305922586,0.3113740879753059,-0.11041904618005643,0.2205034209277342,0.1341117246746011,0.267517271722534,0.09083281457594183,0.06155033519609898,-0.25015517005781573,-0.12859048567739664,-0.12377820938791209
Haldea_striatula,Burrowing,annelids,American,North-Central American,-0.025346364266322433,-0.022562235442271258,-0.03306647428941525,-0.005694988523531301,-0.07000931899610445,-0.016536543428504236,0.027184716231759262,-0.0010402677120026032,0.006350973145284778,0.09341583783940885,-0.03223243374460773,-0.11940109700095973,-0.021856702661739356,-0.15364263907032266,-0.05276475336748732,0.025098583153207187,0.024124158655291404,0.05227778173758505,0.019542591687292953,-0.06666841397205257,0.7044555592261837,-0.7288527047247106,-2.55172755029086,0.5214961610120217,0.1906281186399214,-0.07353514666109603,0.6279187095142151,0.1913745118061495,0.9294878973084122,-0.4611143800910616,-0.20734050332793968,0.17503498611967333,-0.19519438525906452,-0.13273631546593792,0.049596037735713305,-0.08105271412501207
Hebius_annamensis,Semiaquatic,unknown,Asian,Asian II,-0.02073270529356341,-0.012643961725740697,-0.03298590762385564,0.03873288951029298,0.03678298410298877,0.027893432729029975,-0.027880184887112698,-0.05658159537324362,0.008132403171005467,0.030836195006681968,-0.17327941399394484,0.05302434794132077,-0.03138250235910652,0.054655275011059046,0.0020457083023685705,0.019226799956101704,-0.07472201226134596,0.024292907066365433,-0.01595087983494658,0.2801526176642545,-2.6679498075930574,-0.003187621027703043,0.10714517033276066,-1.458231665360817,1.037889796945288,0.7687371086727377,-0.30175766566835427,-0.22712801184501263,0.7152730311033185,0.007438883864865183,-0.05465741094286614,-0.24778063355631272,0.3151151958598731,0.3253878157628347,0.20422297651764743,0.03941067655008445
Hebius_atemporale_1,Terrestrial,unknown,Asian,Asian II,-0.008441609549232634,-0.009087337591631267,-0.011173757631887524,0.013442958043705683,0.06302573489990541,0.008995085027354728,-0.003257248336788624,-0.03965024683278748,-0.017098809529527054,-0.058736971761597916,0.0479818275917814,0.046616314317867634,0.0025787251835343544,0.1360181273551099,0.04300687788117414,-0.054359705633862346,-0.015871589997720044,-0.006427286820387966,-0.004243258170132546,0.2205695247163324,-0.15359384536512732,0.6068217967458391,1.8851462211195193,-0.3654911846839594,0.3641241500730798,-0.4912572679548588,-0.35717417956006003,-0.22252427028455787,-0.052990739141960674,0.11156493142428653,0.22498971753650143,0.15615686542072685,0.06907976042846552,-0.02838028428025048,-0.07834956627772358,-0.06871866229582263
Hebius_bitaeniatum_4,Terrestrial,anurans,Asian,Asian II,-0.03123169352468707,-0.03271658673385163,-0.03753407120522137,-0.06201337975122182,-0.017088605732614635,-0.05170345717130154,-0.08541049236228253,-0.08216432831389572,-0.05757833532480963,-0.07804585757056888,0.001125064285287092,-0.060286843250993497,-0.0854858795991677,0.017901572249970625,-0.03316781700021392,-0.10011378002136104,-0.11546528196947516,-0.10241342740016464,-0.09764710721120835,0.10654099583148761,0.2516702579189323,-2.3880892025417895,0.8591797207082736,0.252178069325269,-0.3361536299509562,-0.28034803737779646,-0.5953304331997561,0.30961555151298215,-0.1038522562262709,0.18199990479023148,-0.00521866786589828,-0.26088271436899085,0.14938783834575586,-0.03077298575591264,-0.049863928782949755,0.10639820391403511
Hebius_boulengeri_2,Terrestrial,unknown,Asian,Asian II,1.9631513620883866e-4,-0.024271044188557165,-0.04788321015225381,0.018865565110896126,-0.03361983760504787,0.021706774267328185,-0.016324636205900564,-0.07992551633677063,-9.18581556812072e-4,-0.016939228404443396,-0.008868905684040772,-0.028986227395087744,-0.08502596508098982,0.04597793610470613,-0.010898100941420548,-0.0649930760716546,-0.052320064013537504,-0.022693272269882696,-0.08901758404469332,NA,0.48662458124360103,-0.6850391878592236,0.1945570985792384,-0.15264462237400248,0.7731399138339012,-0.30051589821206043,-0.7813930810756827,-0.04239900585617294,0.7152613319832011,0.6879195574111292,-0.31986263822379685,0.09997929706741462,0.01870617561705158,-0.18284161640371585,0.018360263980486402,-0.011044753470418353
Hebius_celabicus,Semiaquatic,unknown,Asian,Asian II,-0.05538342913595003,-0.03177753415868452,-0.04526645963307993,-0.03329254879608756,0.038487785336641794,-0.025299219854652426,-0.04409687511671492,-0.03282940526660664,-0.08510808655839366,-0.08782836879786383,-0.03280412970815503,-0.08117136544182109,-0.09287164628650019,0.05880596112417018,-0.005352758291766344,-0.042647448893770326,-0.06283687418691405,-0.055078005937142606,-0.027063225318902866,-0.00667894584439303,-3.0157830742196223,-1.9725303044853024,1.2013273931774626,-0.4121943506240939,0.21347102883011082,-1.1535774991138674,-0.18716452554287127,0.5356929491314307,-0.18643627657889875,-0.2243126516342337,0.1640190796027924,-0.32908938740142035,0.5693624595856216,-0.23528567125935787,0.010437867085300978,0.1937192587996975
