Species,Habit,Diet,Origin,Lineage,JL_LSR,HLRA_LSR,HLV_LSR,HWLSL_LSR,HWFSL_LSR,HW_LSR,HHP_LSR,HH_LSR,ES_LSR,EN_LSR,ED_LSR,NL_LSR,EL_LSR,NN_LSR,EE_LSR,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
Fowlea_sp2,Aquatic,aquatic generalist,Asian,Asian I,0.31622560909044506,0.5306120834907048,0.5048167595300678,0.2799449844591146,-0.3049794953487875,0.3013645203140414,0.0423081255249013,0.10813123336852537,-0.04010044130422197,-0.2614659843923342,-0.31357619173189355,-0.47925840767831784,-0.24488327890453632,-0.3936613576882989,-0.045478158729409704,1.7754366939215802,3.067823555155259,-2.044547950644647,0.43222978220853697,0.01364613766017081,-0.7672039541087319,-0.794555281310418,-0.37840496147326136,-0.3958672104387746,-0.21976702094136388,-0.24841346695469202,-0.02408014331417191,-0.23274361826841192,0.07026658523898857,-8.326672684688674e-16
Fowlea_tytleri,Aquatic,aquatic generalist,Asian,Asian I,0.32662210958282945,0.5556418911020378,0.5108219134169792,0.2470741405160474,-0.27734480970939335,0.25905735050372086,0.02389680298719398,0.1163224012226661,-0.03503332899890437,-0.24750202745516758,-0.2936527237053802,-0.49084481988348744,-0.23451667883672767,-0.4125764936506293,-0.04796572709178541,1.5702175346203089,2.8638226351865113,-0.42746429688739773,-0.16293536715198836,0.6694090088588083,-0.24999998911390564,-0.28024143702848303,-0.9471419806986683,-0.8269295152713982,-0.40807599639722614,0.09301233636013073,-0.12408190792484397,-0.24066361049943003,0.19365860904267052,2.525757381022231e-15
Fowlea_yunnanensis,Aquatic,aquatic generalist,Asian,Asian I,0.31808954647214255,0.5279064836101555,0.5193686191038895,0.2355661211878806,-0.30199912153383446,0.24486156632240536,0.03170110777017761,0.12356844699423816,-0.033897707040134575,-0.24406423077129827,-0.2572871701820204,-0.5102406117835323,-0.25039725124323,-0.350129700127896,-0.05304609877894213,1.0612710481763448,2.174889759100252,-0.3714937691153761,0.35818962668554605,0.92868394087879,-0.3528054979402178,-0.11390026424177246,-0.40382636721344706,0.2143436844197666,-0.19605612828358862,-0.5553966071706735,0.23683285924192443,0.09670508231924459,0.29006715309350617,-4.9960036108132044e-15
Haldea_striatula,Burrowing,annelids,American,North-Central American,0.32743271733843526,0.5287354015271161,0.5342512410180941,0.22453123858124593,-0.3374624848868182,0.23337222471177643,0.09322294642465545,0.11094080060581439,0.0254959185825378,-0.07573128519570024,-0.24877989464121258,-0.7025143078674353,-0.30509434018510617,-0.42068149761195933,0.012281321598556397,3.8056892212767366,-1.6157256247846894,0.7452052357865203,1.8628264897346334,0.45047679953238795,-0.373705878079136,-0.09994299495673313,-0.3308296574860749,0.4438524888653954,-1.4785106879962442,-0.25098852333340993,-0.8392486650694758,-0.0015500082371540658,0.13929373442283594,1.0269562977782698e-15
Hebius_annamensis,Semiaquatic,unknown,Asian,Asian II,0.31517849081961247,0.5177082319261134,0.507716600925722,0.2536162813704668,-0.23657638219695426,0.26516734743104026,0.004388657866474867,0.034490390089583815,-0.0050643159012184955,-0.19190598727749325,-0.4208879714993265,-0.5164170787909973,-0.3179345474988536,-0.23118135031024808,0.02170163304607706,0.34998676050470146,-1.2264501338718827,-2.502622980530785,-0.6344995621706471,-0.2971953183930848,-1.1376183605016474,-0.7528809042831516,-0.5228467343378721,-0.5783070411835208,-0.23983158417324757,0.5448089702638911,-0.20323676924741943,0.6279720116765753,-0.1829773488624899,2.9282132274488504e-15
Hebius_atemporale_1,Terrestrial,unknown,Asian,Asian II,0.30452706678692754,0.4998505408718908,0.5102393739586145,0.2048122652625785,-0.23738441846781766,0.22174000606674452,0.012403491939220489,0.029993796111801706,-0.04743871919478217,-0.2906569063170149,-0.21724985722991122,-0.5572134203938808,-0.3119954702291302,-0.17203772856720131,0.05040997940195999,-2.083743487303646,-1.4367098104671379,-1.0388692686019454,0.8815810473667842,-0.8551524715417705,0.5932879580834439,-0.23241632469103515,0.12307846788231952,-0.031803427579660815,-0.04127358218334268,-0.29127295910169543,0.3805617718925464,0.13194544342350611,0.22513586497131097,8.881784197001252e-16
Hebius_bitaeniatum_4,Terrestrial,anurans,Asian,Asian II,0.3478630598508429,0.5376092440187338,0.5386787440017675,0.1972541138501872,-0.23863519712250683,0.23208632680743632,-0.023263230907081402,0.04890991780002974,-0.03977270887125329,-0.2865167140200501,-0.21447306371408886,-0.5625033856704729,-0.3181848481837061,-0.22627072989972843,0.007218472059890454,-0.805963163730394,-0.4300032474426997,0.5188991849391807,-0.910806171984639,-1.295075264026627,0.2880832145764282,0.35615242253203677,-0.2816326686907697,-0.1552004027562437,0.5540580323072578,-0.19708886010223714,0.07950187039536469,-0.053334884057098186,-0.23101261734140277,-1.186550857568136e-15
Hebius_boulengeri_2,Terrestrial,unknown,Asian,Asian II,0.34991726193796524,0.5173790535062699,0.500624529402403,0.2484981651758324,-0.2864168642698905,0.2753980611357038,0.019342337638151186,0.022466771847300244,-0.0098376673450455,-0.24849623876584884,-0.2514109777730661,-0.5658049349950288,-0.3494190810801746,-0.2272377790170636,0.004997362602491475,0.3009299083396819,-0.8718843286426756,-1.072805300989872,-0.23954053352567434,-2.219193347922467,-1.595369618073272,-0.1956751982696076,0.2108399155100582,-0.19968217932252205,-0.23322498769362818,-0.5743796316835376,0.14318276649503406,0.007158981145358214,0.06526037185373887,2.7755575615628914e-15
Hebius_celabicus,Semiaquatic,unknown,Asian,Asian II,0.31188439388216377,0.5288978379048633,0.5243222376557858,0.21333399076091367,-0.2007367379262279,0.2444041748629265,0.015244944262157249,0.0885749740910134,-0.07086997561818698,-0.28852234946520317,-0.2526532999479747,-0.611515949947662,-0.3446319639326192,-0.1961631616638072,0.03843088508185709,-0.7704029243006101,-0.9708749712404194,-1.1677862716917935,0.7002358680015806,-1.3995075208781633,1.1363292482312284,1.3153367972067513,-0.6786775325265924,-0.3051890367610336,0.5839460039246799,-0.45129603970127796,0.021795792560619393,0.450604157307225,-0.5312924040508101,1.6930901125533637e-15
Hebius_chapaensis,Semiaquatic,unknown,Asian,Asian II,0.3275074305138384,0.5146032091237025,0.5371645272381551,0.21818021566974605,-0.22504752204404074,0.23793471853264103,6.962714558397728e-4,0.02848257557900841,-0.0047666242456623565,-0.24506463556592795,-0.3161279913913733,-0.5515921031411269,-0.34781803406932255,-0.20841565675758403,0.034263619102108234,-0.41876727787101464,-2.107057647979515,-1.2167628862399442,-0.8287215734147841,-0.8172030027416212,-0.2851052811169303,0.022495676958586674,0.08338356702008426,-0.07048074276114874,0.14606381251021017,-0.022057499806002218,-0.1599699966881955,-0.04046119828731032,-0.01874594810149649,-9.048317650695026e-15
Hebius_clerki,Semiaquatic,unknown,Asian,Asian II,0.3905538852183819,0.5294705675839426,0.5287795041992864,0.2262835699387936,-0.2691109360439461,0.2509789878077925,0.00846974705389596,0.04721802012238242,-0.07616691967178035,-0.2804384490519731,-0.21312342287860062,-0.5634175698443041,-0.339190997308755,-0.2568780603108334,0.01657207318571718,-0.09008044765830465,0.1902341767891362,0.34118432218238914,-0.7714790015533269,-2.954931695051614,0.3029788022354629,0.5943730445314496,0.9508259273965768,-0.4077644834448789,0.04648319768741757,-0.2628143306637525,-0.2721922040405276,0.9223662830982754,-0.14504800694166448,-1.6237011735142914e-15
Hebius_craspedogaster_2,Semiaquatic,anurans,Asian,Asian II,0.3345436109626916,0.5182881238094378,0.5003166377580583,0.15611428329770508,-0.2615235539177526,0.19921063628884902,-0.02384360251862844,0.06563632742512716,-0.03408648252534952,-0.31487077341865033,-0.12699820362648134,-0.540699743313203,-0.2770844080225523,-0.20634014943605214,0.011337297236801037,-2.406864895496403,-0.12718757126063981,1.5169174800258989,0.44013128502433274,-0.09572929735562849,0.029445107656666192,0.127119430491903,0.18425601678782444,-0.40938061864645897,0.31232628499725407,-0.4662872230915117,0.5301050529537292,-0.24659764510981716,0.031371882523218264,-1.2281842209915794e-15
Hebius_flavifrons,Semiaquatic,generalist,Asian,Asian II,0.32135493826156314,0.48729685974209785,0.5103573028010302,0.17938677612723336,-0.28060393712068166,0.2103347851928335,-0.014761566665271699,0.045456138295191344,-0.02483964771953596,-0.23053238125247438,-0.16071129951677204,-0.5605740882761454,-0.2761437328111309,-0.24419019129714825,0.03817004423921072,-1.7594368669072231,-1.1083423546965645,0.6322693949128118,1.0991301646202634,0.09033960243107178,-0.028894773938573592,-1.1332383237800487,0.5719327792813813,0.25376608755200314,-0.0926328943983463,-0.3547058589196987,-0.3952676694685397,0.19097419790493503,0.06462805022786233,1.915134717478395e-15
Hebius_groundwateri,Semiaquatic,unknown,Asian,Asian II,0.33482770357236774,0.5001378915614046,0.5435434379174416,0.2431660261206569,-0.31313647464663036,0.2431660261206569,-0.048829286007389096,0.011868554346222688,0.01738698287586816,-0.17718768187382627,-0.327455172069751,-0.5234033517131716,-0.327455172069751,-0.19291837671091477,0.01628889257681604,0.0020119398772240685,-2.065687389980253,-0.9116852608443697,-1.3603897731278427,-0.4859563511804391,-1.4958969748643727,-1.7500792563923333,0.12977576604734734,0.48083488860153306,0.7984759238766652,-0.09773123715113506,-0.24414565233401636,0.7367913528816816,0.30969702908867836,-3.400058012914542e-15
Hebius_inas,Semiaquatic,unknown,Asian,Asian II,0.3495667314431675,0.5340640750727527,0.5300791686829089,0.20647039035477524,-0.286451952273201,0.250849541560074,-0.015184767521552206,0.042513766471261656,-0.010247019833540282,-0.24639778962213452,-0.1932327677079574,-0.5861268279322785,-0.33592576659151185,-0.23175070775361664,-0.008226074349147666,0.08620594293445162,-0.826629333077179,0.6023545884722235,-0.6960457675148246,-1.5234902943296182,-0.8483444769997514,-0.0079982265244034,-0.32942492309766325,0.12439625235244507,0.3914342195857299,-0.7464304326050771,0.19304459544651026,-0.2436321540824264,-0.29315233140992614,1.6653345369377348e-16
Hebius_johannis,Semiaquatic,fish,Asian,Asian II,0.33976817012759836,0.524440244618035,0.5080908030882827,0.22660658296313949,-0.23367269997368453,0.2465354405434378,0.0060081386598908335,0.06826894272729131,-0.032383965863531525,-0.25441842058891867,-0.26671719947048045,-0.5116191471933978,-0.3289737824558296,-0.26904604673476906,-0.022887060447064053,-0.15860938126789004,0.2973584688987776,-0.7372466163291392,-0.7630860557198185,-0.7082999471902034,-0.8081125462452732,0.5289042735837767,-0.17632724492571783,-0.27009350581812347,-0.27965690022943795,-0.7857994180007808,-0.15902156011783403,0.325776134578857,-0.052722669865035626,9.71445146547012e-16
Hebius_khasiense_1,Semiaquatic,generalist,Asian,Asian II,0.3453564926942234,0.5311655350385486,0.5330945019983958,0.20626705445521581,-0.28109934698497785,0.2414959038156693,-0.009250493094231082,0.04082598491326329,-0.028673146299666465,-0.23528378972757477,-0.21247277546355492,-0.5653848809757804,-0.3379720156846738,-0.2356990375312407,0.007630012846384101,-0.10587592708797189,-0.9608151395529817,0.305690664651041,-0.6881172960300185,-1.4227125478517775,-0.19676908368113405,-0.10853907594173226,-0.15349566864173575,-0.07362278574509315,0.1689071290137203,-0.736522690376976,0.098959776211222,0.20635548262601822,-0.26091160927021045,-2.4216739724636227e-15
Hebius_metusium,Semiaquatic,unknown,Asian,Asian II,0.3456541637013935,0.5422752925670831,0.5199630216719143,0.17348329677748248,-0.25451862188842816,0.19666349526896057,-0.016392366392987207,0.05727526123542431,-0.016751000818343974,-0.24399705926641801,-0.19667253478000588,-0.5800845311351953,-0.2974436165736355,-0.21684730881815203,-0.01260749154909226,-0.8433077174293772,-0.6551999439115817,1.6881262176280531,-0.5976701995240977,-0.1911375903297926,-0.3061085561693436,0.46708387580983496,-0.6869839225759141,-0.082067499799339,-0.08960433190796023,-0.09675898229098809,0.5050817066482562,0.12146421458713275,0.04441525710357407,-3.3306690738754696e-16
Hebius_modestum,Terrestrial,anurans,Asian,Asian II,0.3406283324419264,0.5265981950643148,0.5254882048253495,0.2152029889048234,-0.2768842575292132,0.24976503778623851,0.001999646207445515,0.05101958629910998,-0.034863875868310024,-0.2351485475147553,-0.2785684974225541,-0.5309550223127811,-0.3156243496749954,-0.2325703943238775,-0.0060870468827215855,-0.017154419587667544,-0.2169609367402029,-0.44402885869079217,-0.7175051868846757,-0.8793635357341846,-0.41790510157868244,-0.1758870961727525,-0.06685812494754878,-0.06871914459051076,-0.0016635011118063883,-0.32993952972566826,0.33627186218197297,0.5132325782582026,-0.37050751578160684,-6.800116025829084e-16
Hebius_octolineatum_3,Terrestrial,anurans,Asian,Asian II,0.3362482785942798,0.5167182138148488,0.5256521941180841,0.19691550062553775,-0.24973227384159702,0.23204082952344246,-0.007815535397949847,0.08036228304192149,-0.028302188446389438,-0.271201672210185,-0.22301205152608733,-0.5293022181486176,-0.28867426251867667,-0.2726715073468811,-0.017225590281730475,-0.6175353938885944,0.44775856008174886,0.24939064891229692,-0.30487774298055603,0.029435311699026225,-0.29521835263387997,0.1526606515835453,0.1066046243393784,0.1929090455739799,0.20795288378011353,-0.4283487589791987,-0.11509494470648879,-0.0768236580162316,-0.15404388317847156,5.273559366969494e-16
Hebius_optatum_1,Semiaquatic,fish,Asian,Asian II,0.3498573893606875,0.5437247473458846,0.5425873539016224,0.11425004437282288,-0.2803102236478341,0.15316811040319253,-0.040651915612920246,0.05236305351161191,-0.009784853237232582,-0.26056616545207695,-0.11674208468340329,-0.5552093624546575,-0.31718158360096044,-0.21917348029385195,0.04366897008711561,-1.831653502987237,-2.2301471600733263,3.248614441972778,-0.8115786044420091,0.19569530808038504,1.0438663179476435,0.2164653329174313,0.22125701946890852,-0.8749810162932686,0.3439339065063588,-0.6103500987176923,0.4251069824730687,-0.258689401606205,0.07809839131417809,-2.942091015256665e-15
Hebius_parallelum,Semiaquatic,generalist,Asian,Asian II,0.3308676605050963,0.5126915112297934,0.5103787402773988,0.1817242059648775,-0.24291008574130166,0.20100999917454052,-0.004650013702050898,0.09319405706391333,-0.03371500237844659,-0.26493129087646794,-0.2154241964504548,-0.5008283156889834,-0.28068472379802106,-0.26905269451899505,-0.017669851060898537,-1.2537659150081408,0.49056202287587164,0.587479188751008,-0.11359603546278982,0.8468504708184391,-0.14377557873113736,0.36758922238575775,0.19020154008975684,-0.08486438255236034,-0.18864222249509024,-0.5937784670614561,-0.01071576229318534,0.3232886624666423,0.14153171640290158,9.575673587391975e-16
Hebius_petersi,Semiaquatic,lizards,Asian,Asian II,0.3249908031225007,0.5113948450224666,0.5076283752894939,0.12938240290475417,-0.2514194982644897,0.19906709181969706,-0.011674855690284192,0.07269907081514851,-0.023374459357749188,-0.260413610544526,-0.1691077685014005,-0.5538205811581364,-0.24940755313962176,-0.23360474679420123,0.007660484476347983,-2.026464002981804,-0.2873252181344317,1.658435857453725,0.7207925884814473,1.0085847179613805,0.08082842930128684,-0.18324434262544242,0.15629094521956283,0.004461369068020346,-0.19801847156148406,0.04311919599784621,0.3551600176824866,-0.2562476369869972,-0.6562365396347277,8.257283745649602e-16
Hebius_pryeri_2,Semiaquatic,generalist,Asian,Asian II,0.34951244231903084,0.5267452827597521,0.5258887771137202,0.19926519370528467,-0.3116581032652088,0.22060220152025037,-0.03139505012419216,0.0903931803620297,-0.0026138714878000567,-0.22487962002138004,-0.17664922764832003,-0.6237348779503766,-0.29609457292271363,-0.2797729419456069,0.034391187585530114,0.1929013258038175,-1.1131555142501088,1.5953630867376083,0.599845418393675,-0.49471865257707404,-0.30997090251563814,-0.3328948993345203,0.002898910430804924,-0.42874144162787525,0.9737179834589261,-0.09784325591667231,-0.6098710669316467,0.07678728243138919,0.17618003759589015,2.4424906541753444e-15
Hebius_sanguinea,Semiaquatic,unknown,Asian,Asian II,0.3897425826967158,0.5044934242016024,0.5440487304442039,0.21487542808475424,-0.24883424245700905,0.23283464001337406,0.025485687227250736,0.018954820068293025,-0.01793736386325566,-0.23092265314830687,-0.23978611347961196,-0.5423111002305444,-0.36922535131458833,-0.2580748991919217,-0.023343589050956057,0.20668379263185777,-0.9570900235396004,0.26065319168483253,-1.819599427815424,-1.8782622150169888,-1.0429534251927186,0.6956248471142973,1.393419163193099,0.8969873546860256,-0.8831297726110752,-0.7772837329842275,-0.3934124025349085,0.4461313976488123,0.12351497275567744,-1.817990202823694e-15
Hebius_sarasinorum,Semiaquatic,lizards,Asian,Asian II,0.32254203640392587,0.5070345440517194,0.48533848356850257,0.1933409344176874,-0.23988916042572136,0.21086107073393096,-0.0029537107262808133,0.06914649016277286,-0.03703350029855618,-0.26913156292083784,-0.1474459837102597,-0.568006246558684,-0.3004860138048277,-0.26483158242811383,0.04151420153474258,-1.7241000079601998,-0.7313963219148025,0.38960024473874866,1.3265573039040874,-0.452842637531556,0.09361722684123636,0.024497840687460748,0.08896329528841129,-0.7173118776041616,-0.2056585064145505,-0.6460036159617385,-0.5564470870128366,0.054781446265810566,0.3135078864489578,-3.608224830031759e-16
Hebius_sarawacensis,Semiaquatic,generalist,Asian,Asian II,0.35126326002221564,0.5092251837220647,0.4893950097580659,0.11691139052101393,-0.2564738641974372,0.20950002974642776,-0.03386386200772424,0.09202456770130821,-0.06052568455401667,-0.25394152768204215,-0.11107207364145336,-0.5756561222058744,-0.1950037484279982,-0.2628700693822337,-0.01891248937231687,-2.3948620919739514,1.634084366710298,2.919889725341865,1.2660352603511695,0.7058226558346478,-0.10215149607529397,-0.3787827371353628,0.1637978681978192,0.2521789783972208,-0.1958764015664721,0.4664096234692363,-0.03853327711475096,0.37195940751152085,-1.2544025040584936,3.5388358909926865e-15
Hebius_sauteri_1,Terrestrial,generalist,Asian,Asian II,0.30820877998881596,0.5365564790757723,0.5122618609053224,0.2211384688968818,-0.2809681934493832,0.23531050777135706,0.017654410395829222,0.08021566480856698,-0.04212568459856879,-0.2901925365424044,-0.19329379178142106,-0.5925672686849947,-0.2770308900614878,-0.2571021566545239,0.02193434993023773,-0.3394203444888251,0.11960811109662711,-0.1446974786046452,1.2434033403745623,-0.6140188439096308,0.6109387197987957,-0.06202900959620056,-0.7859610489826527,-0.44893295771116654,0.3309809537847312,-0.1554115995270304,0.49266841375158854,-0.32934505505356854,0.3517956119035001,1.6653345369377348e-15
Hebius_venningi_2,Semiaquatic,anurans,Asian,Asian II,0.3279918696136146,0.5263289100155621,0.5272696536596312,0.23335567482909747,-0.2657860518932769,0.2573063695214474,-4.553164445040535e-4,0.011204669624677189,2.702480378897242e-4,-0.23975209676579348,-0.2932795656415983,-0.5353975457275264,-0.3372501685730522,-0.19658596757651653,-0.015220682679652073,-0.014920710522959839,-1.0673578471236234,-1.1166375276584406,-1.238866216187739,-1.1056697693455049,-1.252636911841459,-0.4116699860318001,-0.5527322351656774,0.30311814099874423,-0.056982209918343504,-0.4159384718106589,0.606887307103292,-0.1759266418304013,0.003941110360807864,1.6653345369377348e-16
Hebius_vibakari_1,Terrestrial,generalist,Asian,Asian II,0.34653052765163284,0.5115805829842304,0.549258050752002,0.1852640489426754,-0.24039727070135536,0.20842546772336634,0.0023510749269729844,0.04113018854331834,-0.012503929519067657,-0.2850088628722381,-0.22063037007981678,-0.5647791623592227,-0.300986564568852,-0.22701930487135388,0.006785523447708202,-0.9769660587566505,-0.9697429016643097,0.6568037600706005,-0.6414994642192854,-0.37917668281328054,0.08826082394464921,0.24690427575000462,0.6007330777633687,0.6713785570109945,0.08848458246185865,0.14203241621955592,0.12731137794410602,-0.40750556218330386,0.25095055518728493,-5.898059818321144e-16
Hebius_vibakari_2,Terrestrial,generalist,Asian,Asian II,0.3305378682415219,0.5167354517842693,0.5304188246396054,0.18947083856962552,-0.2533759902631239,0.2020896384474577,-0.014324737111702068,0.05231400352820359,-0.015584351833787221,-0.2739870771226825,-0.22160092704684145,-0.5495659812595607,-0.28886050420111026,-0.21537996700624842,0.011112910634373202,-1.2848529865075935,-0.831316605927586,0.570994008967594,-0.27607669076883395,0.08254833362574351,0.006380468364875727,-0.08602259835745626,0.03269855231290131,0.1606790028607286,0.2822967074521479,0.03835190564707931,0.26025306041631396,-0.09125831827804762,0.38631988534123607,-8.604228440844963e-16
Hebius_vibakari_ruthveni,Terrestrial,generalist,Asian,Asian II,0.3746224071656267,0.5529879040443165,0.5296925845740399,0.13021708625649933,-0.21633304436891543,0.1550886828746669,-0.0619879923104351,0.03897434544758344,0.02851041782749085,-0.26876563012391047,-0.1789849256910382,-0.5901226702491644,-0.2996634132902707,-0.19627040831668818,0.0020346561601989983,-1.7198042194241416,-1.881551149728566,3.5188906939412528,-1.7669638087785637,0.18437100842990198,-0.6722309103127004,0.8545305720097635,-0.45108736050130294,-0.5015032513809523,0.3344328862371155,0.6562029390287613,0.20492410463858457,-0.5810759897385693,0.2973651008098219,-2.3054474995731766e-15
